time_s,phase,staged,stage1_firing,stage2_firing,stage1_fuel_used_kg,stage2_fuel_used_kg,mass_kg,cg_aft_nose_m,mrc_aft_nose_m,cg_from_mrc_body_x_m,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,ixx_rate_kg_m2_s,iyy_rate_kg_m2_s,izz_rate_kg_m2_s
21,stage1_burn,false,true,false,101122.37336759598,0,212877.62663240402,12.70696000417708,16.918790000000001,4.2118299958229208,239487.32996145452,20796734.335394315,20796734.335394315,-5417.270001835499,-604995.38752698491,-604995.38752698491
22,stage1_burn,false,true,false,105937.72448033864,0,208062.27551966137,12.506396671042657,16.918790000000001,4.4123933289573447,234070.05995961901,20191738.947867334,20191738.947867334,-5417.270001835499,-604995.38752698491,-604995.38752698491
23,stage1_burn,false,true,false,110753.0755930813,0,203246.9244069187,12.305833337908233,16.918790000000001,4.6129566620917686,228652.78995778353,19586743.560340349,19586743.560340349,-5417.270001835499,-604995.38752698491,-604995.38752698491
24,stage1_burn,false,true,false,115568.42670582398,0,198431.57329417602,12.105270004773807,16.918790000000001,4.8135199952261942,223235.51995594802,18981748.172813363,18981748.172813363,-5417.270001835499,-604995.38752698491,-604995.38752698491
25,stage1_burn,false,true,false,120383.77781856664,0,193616.22218143335,11.904706671639383,16.918790000000001,5.0140833283606181,217818.24995411251,18376752.785286378,18376752.785286378,-5417.270001835499,-604995.38752698491,-604995.38752698491
26,stage1_burn,false,true,false,125199.1289313093,0,188800.8710686907,11.704143338504958,16.918790000000001,5.2146466614950437,212400.97995227703,17771757.397759393,17771757.397759393,-5417.270001835499,-604995.38752698491,-604995.38752698491
27,stage1_burn,false,true,false,130014.48004405196,0,183985.51995594805,11.503580005370534,16.918790000000001,5.4152099946294676,206983.70995044155,17166762.010232411,17166762.010232411,-5417.270001835499,-604995.38752698491,-604995.38752698491
28,stage1_burn,false,true,false,134829.83115679462,0,179170.16884320538,11.30301667223611,16.918790000000001,5.6157733277638915,201566.43994860607,16561766.622705426,16561766.622705426,-5417.270001835499,-604995.38752698491,-604995.38752698491
29,stage1_burn,false,true,false,139645.1822695373,0,174354.8177304627,11.102453339101684,16.918790000000001,5.8163366608983171,196149.16994677053,15956771.235178441,15956771.235178441,-5417.270001835499,-604995.38752698491,-604995.38752698491
30,stage1_burn,false,true,false,144460.53338227997,0,169539.46661772003,10.901890005967259,16.918790000000001,6.0168999940327428,190731.89994493502,15351775.847651454,15351775.847651454,-5417.270001835499,-604995.38752698491,-604995.38752698491
