acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,attitude_quaternion,attitude_rate_rad_s,body_id,candidate_index,configuration_variant_id,deployment_time_s,drag_force_n,event_id,fidelity,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,mass_kg,mass_property_profile_id,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,parent_event_id,phase,pitch_deg,position_m,projected_area_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,query_id,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,shape,speed_m_s,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,velocity_m_s,wind_velocity_m_s,yaw_deg
,,,,,,,,,172.21516938622074,"[68.66959609754616, 0.0, -157.93210927016892]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,5677.36532008348,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5825.351642060037, 0.0, 2974.774409815355]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,172.21516938622074,,53.0,,,,,,,,,,,,,"[68.66959609754616, 0.0, -157.93210927016892]","[0.0, 0.0, 0.0]",
,,,,,,,,,177.31475210192198,"[67.14058245107502, 0.0, -164.11174089959695]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,6133.696416821842,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5893.2599951219145, 0.0, 2813.7263417651293]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,177.31475210192198,,54.0,,,,,,,,,,,,,"[67.14058245107502, 0.0, -164.11174089959695]","[0.0, 0.0, 0.0]",
,,,,,,,,,182.1833602185977,"[65.57385416237274, 0.0, -169.9730754879466]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,6603.681292561116,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[5959.620234034167, 0.0, 2646.6570324166323]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,182.1833602185977,,55.0,,,,,,,,,,,,,"[65.57385416237274, 0.0, -169.9730754879466]","[0.0, 0.0, 0.0]",
,,,,,,,,,186.8031253464506,"[63.97246368760582, 0.0, -175.50763951731471]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,7085.398434332316,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6024.396148469569, 0.0, 2473.889119854751]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,186.8031253464506,,56.0,,,,,,,,,,,,,"[63.97246368760582, 0.0, -175.50763951731471]","[0.0, 0.0, 0.0]",
,,,,,,,,,191.15886956829388,"[62.339713055694595, 0.0, -180.70825545824312]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,7576.811742203723,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6087.554707577582, 0.0, 2295.7530749304124]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,191.15886956829388,,57.0,,,,,,,,,,,,,"[62.339713055694595, 0.0, -180.70825545824312]","[0.0, 0.0, 0.0]",
,,,,,,,,,195.2379470588385,"[60.67912657430525, 0.0, -185.5691234282505]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,8075.784144485392,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6149.0662959941355, 0.0, 2112.5858635502445]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,195.2379470588385,,58.0,,,,,,,,,,,,,"[60.67912657430525, 0.0, -185.5691234282505]","[0.0, 0.0, 0.0]",
,,,,,,,,,199.03011807450542,"[58.99442235084137, 0.0, -190.085891197222]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,8580.094484350446,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6208.904921991731, 0.0, 1924.7295329792926]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,199.03011807450542,,59.0,,,,,,,,,,,,,"[58.99442235084137, 0.0, -190.085891197222]","[0.0, 0.0, 0.0]",
,,,,,,,,,202.5274448846075,"[57.28948239554035, 0.0, -194.25571069685134]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,9087.4574548338,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6267.048396453863, 0.0, 1732.5297347356795]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,202.5274448846075,,60.0,,,,,,,,,,,,,"[57.28948239554035, 0.0, -194.25571069685134]","[0.0, 0.0, 0.0]",
,,,,,,,,,205.72420105431257,"[55.56832124046247, 0.0, -198.0772792976317]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,9595.546239643252,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6323.478481209545, 0.0, 1536.3341984546018]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,205.72420105431257,,61.0,,,,,,,,,,,,,"[55.56832124046247, 0.0, -198.0772792976317]","[0.0, 0.0, 0.0]",
,,,,,,,,,208.61678709746087,"[53.83505315851418, 0.0, -201.55086432532923]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,10102.017401116787,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[6378.181005274074, 0.0, 1336.491172739464]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,208.61678709746087,,62.0,,,,,,,,,,,,,"[53.83505315851418, 0.0, -201.55086432532923]","[0.0, 0.0, 0.0]",
