time_s,north_m,east_m,altitude_m,speed_m_s,mach,mass_kg,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,heading_rad,flight_path_angle_rad,p_rad_s,q_rad_s,r_rad_s,dynamic_pressure_pa,lift_n,drag_n,thrust_n,required_thrust_n,fuel_flow_kg_s,thrust_margin_n,side_force_n,roll_moment_nm,pitch_moment_nm,yaw_moment_nm,control_path,response_profile_id,allocation_status,allocation_residual_norm,saturation_count,throttle_ratio,flight_path_angle_command_rad,aileron_rad,elevator_rad,rudder_rad,control_effectivity_source
515.3999999999802,444.2216179263679,0.9960281489554035,10477.808468892496,230.33513548601235,0.7746335021975003,59638.374976377396,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,-2.902711610913727e-14,0.14323944878289857,1.0139839868886502e-07,1.7763568394002505e-15,-2.5942156382727627e-22,5.2836327405820655e-15,-8.673617381265682e-19,-6.89626107312574e-10,10400.08978450483,584852.6699620915,33787.33665611119,33553.07337230477,33787.33665611119,0.707002163667628,12449.666424019975,0.0,-3.826864269324399e-05,6.640719863496031e-10,0.0028174793908439222,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7061033702410999,-2.5942156382727627e-22,-1.1007124217918556e-16,0.019999999999990952,-1.26472473797735e-10,jsbsim-1.3.1-a320-coefficient-surrogate
515.5999999999802,444.2216179263679,0.9960281489554035,10477.808468892496,230.33434987344694,0.7746308601263651,59638.233575944665,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,2.427679977654781e-14,0.14323944878289857,9.319684227618103e-08,1.7763568394002505e-15,-2.4645048563591247e-22,4.65164418205657e-15,-8.67361738112199e-19,-7.157203749771647e-10,10400.022057639304,584851.2832975378,33787.222330407516,33553.9761015448,33787.222330407516,0.7070201455174141,12449.804971863006,0.0,-3.598933125816795e-05,6.640676618182721e-10,0.002551441487458813,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7061238571951439,-2.4645048563591247e-22,-1.7081580974591392e-16,0.019999999999990952,-1.1399382877714471e-10,jsbsim-1.3.1-a320-coefficient-surrogate
515.7999999999803,444.2216179263679,0.9960281489554035,10477.808468892496,230.33356766976692,0.7746282295195547,59638.09217191556,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,7.012520926860196e-14,0.14323944878289857,8.480386736054785e-08,1.7763568394002505e-15,-2.3412796135411687e-22,4.001028512194829e-15,-8.673617380993244e-19,-7.324263046177726e-10,10399.954624650341,584849.8965977157,33787.10829842237,33554.874712259036,33787.10829842237,0.7070380453285232,12449.94312088417,0.0,-3.355710371276017e-05,6.640633560517015e-10,0.0022838537836298825,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7061442505673281,-2.3412796135411687e-22,-2.199625743177992e-16,0.019999999999990952,-1.0149852501540986e-10,jsbsim-1.3.1-a320-coefficient-surrogate
515.9999999999803,444.2216179263679,0.9960281489554035,10477.808468892496,230.33278886019173,0.7746256103273609,59637.95076430649,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.0849394599253603e-13,0.14323944878289857,7.631934335896341e-08,1.7763568394002505e-15,-2.22421563286411e-22,3.3483039283175605e-15,-8.673617380877887e-19,-7.40413433287112e-10,10399.887484263723,584848.5098627863,33786.99455888403,33555.769222298964,33786.99455888403,0.7070558634565474,12450.080872810919,0.0,-3.100959599155444e-05,6.640590689685291e-10,0.0020174976721914024,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7061645507634374,-2.22421563286411e-22,-2.579544037184468e-16,0.019999999999990952,-8.911148412457815e-11,jsbsim-1.3.1-a320-coefficient-surrogate
516.1999999999804,444.2216179263679,0.9960281489554035,10477.808468892496,230.33201343000465,0.7746230025002908,59637.8093531338,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.3952404477918707e-13,0.14323944878289857,6.783522646837821e-08,1.7763568394002505e-15,-2.1130048512209047e-22,2.7078869552307892e-15,-8.673617380774526e-19,-7.403778601837628e-10,10399.820635210748,584847.1230929096,33786.88111052627,33556.659649438996,33786.88111052627,0.7070736002555423,12450.218229363214,0.0,-2.8382217697628635e-05,6.640548004877454e-10,0.0017548932593420548,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7061847581875047,-2.1130048512209047e-22,-2.854182832164371e-16,0.019999999999990952,-7.694536863443395e-11,jsbsim-1.3.1-a320-coefficient-surrogate
516.3999999999804,444.2216179263679,0.9960281489554035,10477.808468892496,230.3312413645529,0.7746204059890659,59637.66793841375,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.6349720975335772e-13,0.14323944878289857,5.9435279776883256e-08,1.7763568394002505e-15,-2.0073546086598594e-22,2.0920533046152977e-15,-8.673617380681916e-19,-7.330330652394878e-10,10399.754076228204,584845.7362882452,33786.76795208834,33557.54601137641,33786.76795208834,0.707091256078028,12450.355192253599,0.0,-2.5708037739299284e-05,6.640505505286909e-10,0.0014983013932849795,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7062048732418069,-2.0073546086598594e-22,-3.0312779557665886e-16,0.019999999999990952,-6.510072964938588e-11,jsbsim-1.3.1-a320-coefficient-surrogate
516.5999999999805,444.2216179263679,0.9960281489554035,10477.808468892496,230.3304726492472,0.774617820744621,59637.52652016254,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.8081142373623014e-13,0.14323944878289857,5.1194996930397766e-08,1.7763568394002505e-15,-1.9069868782268666e-22,1.5109502069798222e-15,-8.673617380598937e-19,-7.191013025984772e-10,10399.687806058362,584844.349448952,33786.65508231496,33558.42832573183,33786.65508231496,0.7071088312749967,12450.491763187165,0.0,-2.301764225102716e-05,6.640463190110564e-10,0.0012497220707293674,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.706224896326878,-1.9069868782268666e-22,-3.1196730242588397e-16,0.019999999999990952,-5.366598330646959e-11,jsbsim-1.3.1-a320-coefficient-surrogate
516.7999999999805,444.2216179263679,0.9960281489554035,10477.808468892496,230.32970726956128,0.7746152467181038,59637.385098396284,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.9195720905371081e-13,0.14323944878289857,4.318155124379426e-08,1.7763568394002505e-15,-1.8116375343155232e-22,9.726532575523955e-16,-8.673617380524586e-19,-6.993056933296659e-10,10399.621823448935,584842.9625751879,33786.542499956246,33559.306610049876,33786.542499956246,0.7071263261959277,12450.62794386167,0.0,-2.0339060099633962e-05,6.640421058548804e-10,0.0010108985701905075,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7062448278415225,-1.8116375343155232e-22,-3.1289838183214214e-16,0.019999999999990952,-4.2717648454767436e-11,jsbsim-1.3.1-a320-coefficient-surrogate
516.9999999999806,444.2216179263679,0.9960281489554035,10477.808468892496,230.32894521103196,0.7746126838608731,59637.243673131044,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.974949694170886e-13,0.14323944878289857,3.545392292308579e-08,1.7763568394002505e-15,-1.721055657599747e-22,4.832607576368991e-16,-8.673617380457968e-19,-6.743629771484048e-10,10399.55612715306,584841.5756671105,33786.430203767755,33560.18088179895,33786.430203767755,0.7071437411887813,12450.763735967485,0.0,-1.7697700578265146e-05,6.640379109805475e-10,0.000783321831916298,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7062646681828115,-1.721055657599747e-22,-3.069289559758834e-16,0.019999999999990952,-3.232059189264238e-11,jsbsim-1.3.1-a320-coefficient-surrogate
517.1999999999806,444.2216179263679,0.9960281489554035,10477.808468892496,230.32818645925863,0.7746101321244989,59637.102244382804,5,6,right-turn,0.0,0.0,10500.0,230.1542,0.0,0.0,0.0,1.9803376326252367e-13,0.14323944878289857,2.8063026287613226e-08,1.7763568394002505e-15,-1.6350028747197598e-22,4.701863296161776e-17,-8.67361738039828e-19,-6.449770180811955e-10,10399.49071592928,584840.1887248766,33786.318192510436,33561.051158372036,33786.318192510436,0.7071610766000159,12450.89914118767,0.0,-1.5116351142247577e-05,6.640337343087874e-10,0.0005682397318837024,pseudo_6dof_kinematic_bridge,a320.attitude_response_p6dof.v1,surrogate_policy_overlay,0.0,0,0.7062844177461,-1.6350028747197598e-22,-2.9508542810145395e-16,0.019999999999990952,-2.252849593455497e-11,jsbsim-1.3.1-a320-coefficient-surrogate
