shape,fidelity,sample_id,classification,termination,downrange_m,crossrange_m,radius_m,speed_m_s,altitude_m
cone,pseudo_6dof,sweep-cone-0003,impact,ground_contact,323.7891996839156,-0.0011088720937859123,323.78919968581437,33.50766219461954,-4.784365130584251
cone,pseudo_6dof,sweep-cone-0004,impact,ground_contact,312.3480631051912,0.00034088744273792077,312.3480631053772,32.530350150353726,-5.343494679508487
cone,pseudo_6dof,sweep-cone-0005,impact,ground_contact,391.3550625396332,-0.0006403376873455346,391.35506254015706,37.14020276706909,-0.02954813379887411
cone,pseudo_6dof,sweep-cone-0006,impact,ground_contact,374.8145791630309,-0.0001120876539295971,374.81457916304765,36.33658139154907,-8.825725607751814
cone,pseudo_6dof,sweep-cone-0007,impact,ground_contact,342.6760353076078,-0.0003758949399191345,342.67603530781395,34.00889331268959,-4.746618110101922
cone,pseudo_6dof,sweep-cone-0008,impact,ground_contact,345.25819360356877,0.0005837101200123891,345.25819360406217,34.6592081916833,-1.5156876450665548
cone,pseudo_6dof,sweep-cone-0009,impact,ground_contact,321.7307363981006,-0.00011641361316951299,321.7307363981217,33.006467604992736,-5.269911082578984
cone,pseudo_6dof,sweep-cone-0010,impact,ground_contact,341.072145565961,-0.0007891082409817363,341.07214556687387,34.475223575331235,-5.6209670560085
cone,pseudo_6dof,sweep-cone-0011,impact,ground_contact,373.9342615344011,-0.0010686165196354858,373.93426153592804,36.66720103512553,-0.02712108399790858
cone,pseudo_6dof,sweep-cone-0012,impact,ground_contact,345.1606976114937,-0.0010290561931324234,345.1606976130277,34.35191776382842,-8.228598071245665
cone,pseudo_6dof,sweep-cone-0013,impact,ground_contact,394.93529550881584,-0.00026404536919937503,394.9352955089041,37.41963256468295,-5.019811152582059
cone,pseudo_6dof,sweep-cone-0014,impact,ground_contact,361.5901680902389,0.0009847282469526773,361.59016809157976,35.18990804207487,-5.0591701160361096
cone,pseudo_6dof,sweep-cone-0015,impact,ground_contact,381.8221213718913,-0.001148384188753782,381.82212137361824,36.58373455801315,-4.1474806716878145
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0000,impact,ground_contact,237.9680323575221,-0.0001777837410238717,237.96803235758853,16.254239762076256,-0.4185468632495901
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0001,impact,ground_contact,259.8590828692826,0.0007135542678224036,259.8590828702623,16.980535089523304,-0.7512361788702108
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0002,impact,ground_contact,254.8652178750125,0.0004201261060030854,254.86521787535875,16.79389500896546,-3.9890305898237024
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0003,impact,ground_contact,220.19573682195042,-0.0006300285956500415,220.19573682285176,15.645009253859492,-0.09395392666259261
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0004,impact,ground_contact,261.0326068698479,-0.0008532499251218497,261.0326068712424,17.175831919161947,-4.218761628121752
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0005,impact,ground_contact,229.66136090098314,-0.0008968524635341213,229.6613609027343,15.81916866299047,-1.7393087133837075
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0006,impact,ground_contact,241.77621258325138,0.00017302720105051697,241.77621258331328,16.577161514260958,-2.2978893857953144
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0007,impact,ground_contact,234.40634823362663,0.0009715751536040668,234.40634823564014,15.878839724240077,-3.793088345382902
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0008,impact,ground_contact,269.58000835123346,-0.0006717140568582427,269.5800083520703,17.613145631183933,-0.4031108353047528
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0009,impact,ground_contact,258.4340100898591,-0.0006558371182323543,258.4340100906913,16.972507052626003,-0.9328212502929879
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0010,impact,ground_contact,257.61924781911904,0.000628320974111684,257.6192478198853,17.029330419351222,-3.2946077982913957
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0011,impact,ground_contact,248.9957906443828,0.0005617496464367335,248.99579064501646,16.605584776145356,-0.21396506099348
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0012,impact,ground_contact,225.8190697044306,0.000480900192350549,225.81906970494265,15.734708194727403,-3.2458913463910144
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0013,impact,ground_contact,251.31709987931293,0.000810739135365007,251.31709988062065,16.702482424520642,-0.19382357469226097
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0014,impact,ground_contact,250.23716344929284,-0.0003830026430951457,250.23716344958595,16.925911902606327,-2.9175831278623456
triaxial_ellipsoid,pseudo_6dof,sweep-triaxial_ellipsoid-0015,impact,ground_contact,261.6153859817148,-0.00015587551523072552,261.6153859817612,17.08482350230489,-0.40888220571613054
