shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
Positive roll rate,NOTE1,internal,varID,cnr,,-0.386,,
Positive roll rate,NOTE1,internal,varID,cnp,,-0.012,,
Positive roll rate,NOTE1,internal,varID,dclda,,-0.052,,
Positive roll rate,NOTE1,internal,varID,dcldr,,0.014,,
Positive roll rate,NOTE1,internal,varID,dcnda,,-0.009,,
Positive roll rate,NOTE1,internal,varID,dcndr,,-0.045,,
Positive roll rate,NOTE1,internal,varID,cx,,-0.004,,
Positive roll rate,NOTE1,internal,varID,cy,,0.01881,,
Positive roll rate,NOTE1,internal,varID,cz,,-0.416,,
Positive roll rate,NOTE1,internal,varID,cl,,-0.07182,,
Positive roll rate,NOTE1,internal,varID,cm,,-0.04659999999999999,,
Positive roll rate,NOTE1,internal,varID,cn,,-0.002761764,,
Positive roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_X,nd,-0.004,1e-06,
Positive roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_Y,nd,0.01881,1e-06,
Positive roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_Z,nd,-0.416,1e-06,
Positive roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Roll,nd,-0.07182,1e-06,
Positive roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Pitch,nd,-0.0466,1e-06,
Positive roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Yaw,nd,-0.002761764,1e-06,
Negative roll rate,NOTE1,input,signalName,trueAirspeed,f_s,300.0,,
Negative roll rate,NOTE1,input,signalName,angleOfAttack,deg,5.0,,
Negative roll rate,NOTE1,input,signalName,angleOfSideslip,deg,0.0,,
Negative roll rate,NOTE1,input,signalName,bodyAngularRate_Roll,rad_s,-3.42,,
Negative roll rate,NOTE1,input,signalName,bodyAngularRate_Pitch,rad_s,0.0,,
Negative roll rate,NOTE1,input,signalName,bodyAngularRate_Yaw,rad_s,0.0,,
Negative roll rate,NOTE1,input,signalName,elevatorDeflection,deg,0.0,,
Negative roll rate,NOTE1,input,signalName,aileronDeflection,deg,0.0,,
Negative roll rate,NOTE1,input,signalName,rudderDeflection,deg,0.0,,
