time_s,north_m,east_m,altitude_m,speed_m_s,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,p_rad_s,q_rad_s,r_rad_s,source_force_x_n,source_force_y_n,source_force_z_n,dynamic_pressure_pa,mach,aero_alpha_deg,aero_beta_deg,control_path,response_profile_id,elevator_deg,aileron_deg,rudder_deg,throttle_fraction,allocation_status,allocation_residual_norm,saturation_count
20.0,1.874371170574727e-13,3061.0804223384853,102.0709278044752,152.40008467543905,0,1,outbound-climb,0.0,3048.0,120.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3527.0062301118196,0.0,-92977.20557934968,14091.451069783829,0.44838580148765184,2.2545367845100137,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932173697940879,reduced_response_law,0.0,0
22.0,2.0608629758833207e-13,3365.644653328901,114.06144228638256,152.40002822514634,0,1,outbound-climb,0.0,3352.8,132.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3523.1958257673723,0.0,-92873.63911038561,14075.659081530493,0.4484464176391555,2.2545622387933597,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932230148233583,reduced_response_law,0.0,0
24.0,2.247354708851943e-13,3670.208766179178,126.05208763287567,152.40000940838212,0,1,outbound-climb,0.0,3657.6000000000004,144.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3519.2332610297517,0.0,-92769.695799086,14059.873888289365,0.4485071698886323,2.2545707235544756,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932248964997808,reduced_response_law,0.0,0
26.0,2.4338464177072343e-13,3974.7728396493962,138.04277660087456,152.40000313612737,0,1,outbound-climb,0.0,3962.4,156.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3515.2223516574586,0.0,-92665.6270139515,14044.090957453544,0.44856798400999587,2.254573551808181,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932255237252558,reduced_response_law,0.0,0
28.0,2.620338118524747e-13,4279.336899992927,150.03348010937285,152.4000010453758,0,1,outbound-climb,0.0,4267.2,168.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3511.197669589168,0.0,-92561.51645092535,14028.308779886736,0.4486288352690193,2.2545744945594155,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932257328004123,reduced_response_law,0.0,0
30.0,2.806829816663001e-13,4583.900955960895,162.02418846470397,152.4000003484586,0,1,outbound-climb,0.0,4572.0,180.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3507.1707286354776,0.0,-92457.39197750416,14012.526853120897,0.44868971543103414,2.2545748088098274,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225802492132,reduced_response_law,0.0,0
32.0,2.993321513908168e-13,4888.465010470342,174.01489843564602,152.40000011615288,0,1,outbound-climb,0.0,4876.8,192.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3503.1453642775596,0.0,-92353.26287247385,13996.745009859167,0.4487506217619898,2.2545749135599644,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932258257227044,reduced_response_law,0.0,0
34.0,3.17981321085564e-13,5193.029064493616,186.00560894512503,152.40000003871762,0,1,outbound-climb,0.0,5181.6,204.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3499.1228551249196,0.0,-92249.13222530346,13980.963194400056,0.44881155336163703,2.254574948476677,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932258334662305,reduced_response_law,0.0,0
36.0,3.36630490770388e-13,5497.593118354831,197.9963196341164,152.40000001290588,0,1,outbound-climb,0.0,5486.400000000001,216.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3495.103628354578,0.0,-92145.00106466294,13965.181388197796,0.44887250994108835,2.2545749601155807,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932258360474048,reduced_response_law,0.0,0
38.0,3.552796604519042e-13,5802.157172162028,209.98703038294516,152.40000000430197,0,1,outbound-climb,0.0,5791.2,228.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3491.087827619409,0.0,-92040.86973305795,13949.399585077597,0.44893349141528205,2.254574963995215,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932258369077953,reduced_response_law,0.0,0
